Mês,Empresa,Linha,Estudante_Cartao,Estudante_BT,Vale_Transporte,Integracao_Plena,Integracao_Complementar,Gratuito_Cartao,Gratuito_BT,Inteira_Cartao,Inteira_Especie,Tarifa_Social,Qtd_Viagens
2,SANTA MARIA - URB,331,2458,1327,9673,1779,36,2177,863,2919,7751,0,698
2,SANTA MARIA - URB,411,1359,615,4878,1710,0,1310,633,1402,4357,0,419
2,SANTA MARIA - URB,536,450,150,2152,449,0,660,312,543,1358,0,538
2,SANTA MARIA - URB,588,0,0,0,0,0,0,488,0,0,0,59
2,VIA SUL - URB,50,12509,6505,60068,16163,216,10892,4562,11611,40164,0,3597
2,VIA SUL - URB,51,5277,2450,16225,6385,0,4599,2341,4413,12333,0,1586
2,VIA SUL - URB,52,5063,2402,16181,6022,108,5455,3238,4372,13820,0,1477
3,CONCEIÇÃO,21,3664,2117,28210,4863,64,8934,3963,4904,20853,0,2303
3,CONCEIÇÃO,30,2287,941,20439,5118,79,3564,1173,4805,11209,0,1870
3,CONCEIÇÃO,41,1112,403,8949,2627,32,1256,584,1988,3496,0,796
3,CONCEIÇÃO,59,2178,1500,18754,4498,59,7403,3212,3513,13344,0,1794
3,CONCEIÇÃO,63,4598,2182,38575,7499,52,7211,2560,6263,21110,0,2630
3,CONCEIÇÃO,76,570,311,5749,1174,44,1640,455,1274,4191,0,484
3,CONCEIÇÃO,83,1092,759,13889,1074,0,1919,648,2663,10397,0,946
3,CONCEIÇÃO,411,1398,742,8158,3050,0,2172,800,2089,6067,0,760
3,CONCEIÇÃO,587,74,40,392,145,0,357,54,172,234,0,207
3,CONCEIÇÃO,588,0,0,0,0,0,0,23,0,0,0,4
3,CONCEIÇÃO,589,67,12,689,427,0,269,60,168,160,0,457
3,CONCEIÇÃO,599,1766,900,14034,4691,103,3241,691,3865,6788,0,1138
3,CONCEIÇÃO,905,13,4,221,3,0,4,5,17,64,0,21
3,CONCEIÇÃO,2271,2549,1543,20698,2588,0,7641,2910,3654,14807,0,1864
3,DUNAS - URB,33,8646,4397,63840,16326,265,10168,3518,13979,38420,0,2768
3,DUNAS - URB,40,4483,2858,34156,8553,181,12276,5276,6631,28921,0,2422
3,DUNAS - URB,331,1507,786,11177,1917,28,1840,671,3025,7228,0,734
3,DUNAS - URB,332,327,150,2682,414,3,271,113,842,1227,0,432
3,DUNAS - URB,411,723,330,4574,2006,0,988,404,1085,3248,0,378
3,DUNAS - URB,412,0,0,0,0,0,0,0,0,0,0,1
3,DUNAS - URB,585,218,102,649,309,0,480,132,368,680,0,843
3,GUANABARA - URB,2,2949,1525,26758,6696,151,4534,1966,4494,12800,0,2270
3,GUANABARA - URB,4,1651,930,18600,2768,8,1586,841,2543,9082,0,1186
3,GUANABARA - URB,5,2270,1342,17910,1636,29,3780,1886,3153,13666,0,1539
3,GUANABARA - URB,8,5472,2619,48788,15210,426,9550,2954,8130,23542,0,2438
3,GUANABARA - URB,15,2044,1163,16632,2362,69,4058,1980,3164,12121,0,676
3,GUANABARA - URB,17,146,110,1605,234,14,391,200,244,1068,0,112
3,GUANABARA - URB,19,851,424,6412,1032,7,2734,1160,1103,4819,0,903
3,GUANABARA - URB,20,200,112,1066,216,8,699,441,233,966,0,210
3,GUANABARA - URB,25,1056,523,9435,1434,2,2790,1626,1839,5712,0,1477
3,GUANABARA - URB,29,1760,833,16459,3622,27,2424,953,2860,8892,0,908
3,GUANABARA - URB,43,1981,1091,17222,3054,44,3300,1066,3267,9952,0,1095
3,GUANABARA - URB,60,5298,2538,42252,6763,154,6039,2566,7584,23441,0,2406
3,GUANABARA - URB,64,4341,2499,33771,4770,62,8595,4028,5945,24305,0,1873
3,GUANABARA - URB,70,1744,1047,19144,1933,14,3339,1786,2426,11135,0,1075
